Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C12, C18, C19, C20, C29, C35, C36, C37, C38, C39, C49, C50, C51, C8",C0603,15,1uF,C15849
"C10, C11",C0603,2,1nF,C1588
"C13, C14, C15, C16, C2, C22, C25, C26, C30, C31, C33, C34, C4, C40, C41, C42, C43, C44, C45, C46, C47, C48, C5, C7",C0603,24,100nF,C14663
"C17, C21, C32",C1206,3,10uF,C13585
"C23, C24, C3",C0805,3,22uF,C45783
"C27, C28",C0603,2,330pF,C1664
C6,C0603,1,100pF,C14858
C9,C0603,1,10nF,C57112
CARD1,TF-SMD_TF-01A,1,~,C91145
"D1, D3, D9",SOD-123_L2.7-W1.6-LS3.7-RD-1,3,~,C8598
"D2, D4, D6, D7, D8",SOT-23-3_L3.0-W1.7-P0.95-LS2.9-BR,5,~,C32677
"FPC1, FPC10, FPC11, FPC12, FPC13, FPC14, FPC15, FPC16, FPC17, FPC18, FPC19, FPC2, FPC20, FPC21, FPC22, FPC23, FPC24, FPC3, FPC4, FPC5, FPC6, FPC7, FPC8, FPC9",FPC-SMD_20P-P0.50_XUNPU_FPC-05F-20PH20,24,~,C2856803
"I2C1, I2C2",FPC-SMD_6P-P0.50_XUNPU_FPC-05F-6PH20,2,~,C2856796
L1,IND-SMD_L4.0-W4.0,1,15uH,C602033
L2,L0805,1,10uH,C1046
LED1,LED0603-RD,1,~,C2286
"Q1, Q2, Q3, Q4, Q5, Q6, Q7, Q8",WDFN-5_L3.1-W3.1-P0.65-BL_1,8,~,C7543836
"R1, R11, R12, R13, R14, R15, R17, R18, R21, R22, R24, R25, R26, R27, R28, R29, R3, R30, R31, R32, R33, R34, R35, R36, R37, R7, R8, R9",R0603,28,10kΩ,C25804
R10,R0603,1,49.9Ω,C23185
R16,R0603,1,120Ω,C22787
"R19, R20, R38",R2512 Shunt with Kelvin connections,3,5mΩ,C393074
"R2, R4, R5",R0603,3,100kΩ,C25803
"R23, R39",R0603,2,1.5kΩ,C22843
R40,R0603,1,20kΩ,C4184
R41,R0603,1,47kΩ,C25819
R6,R0603,1,13kΩ,C22797
SCREEN1,FPC-SMD_18P-P0.50_FPC-05F-18PH20,1,~,C2856802
"SW1, SW2",SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL_H1.5,2,~,C318884
U1,WIRELM-SMD_ESP32-S3-WROOM-1,1,~,C2913202
U10,QFN-28_L5.0-W5.0-P0.50-TL-EP3.3,1,~,C964632
U11,TSSOP-20_L6.5-W4.4-P0.65-LS6.4-BL,1,~,C2058366
"U12, U13, U2, U7",WLCSP-6_L1.2-W0.8-P0.40-TL,4,~,C7067041
U17,SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL,1,~,C12084
U18,LGA-16_L3.0-W3.0-P0.50-TL,1,~,C15134
"U21, U22, U23, U24, U25, U26, U27, U28, U29, U8",DHVQFN-16_L3.5-W2.5-P0.50-BL-EP,10,~,C19268125
U3,SOT-23-5_L3.0-W1.6-P0.95-LS2.8-BL,1,~,C2969807
U4,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,1,~,C191884
U5,TDFN-6_L2.0-W2.0-P0.65-TL-EP,1,~,C22373734
U6,C0805,1,20nF 5%,C1853321
U9,QFN-14_L2.5-W2.5-P0.50-TL-EP1.4,1,~,C7471922
"USB1, USB2",USB-C-SMD_TYPE-C16PIN,2,~,C393939
