Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C13, C2, C24, C25, C26, C27, C501, C601, C801, C802",C0603,11,100nF,C14663
"C10, C11, C14, C15, C16, C17, C18, C3",C1206,8,10uF,C13585
"C101, C201, C30, C301, C401",C0603,5,1nF,C1588
"C12, C7, C8, C803",C0603,4,1uF,C15849
"C20, C21",C0603,2,15pF,C1644
"C34, C9",C0603,2,10nF,C57112
"C4, C5",C0805,2,22uF,C45783
C6,C0603,1,100pF,C14858
D1,SOD-123_L2.7-W1.6-LS3.7-RD-1,1,~,C8598
D2,SOT-23-3_L3.0-W1.7-P0.95-LS2.9-BR,1,~,C32677
"FPC2, FPC3",FPC-SMD_6P-P0.50_XUNPU_FPC-05F-6PH20,2,~,C2856796
FPC4,FPC-SMD_20P-P0.50_XUNPU_FPC-05F-20PH20,1,~,C2856803
L1,IND-SMD_L4.0-W4.0,1,15uH,C602033
L2,L0805,1,10uH,C1046
L3,L0805,1,300mΩ,C1017
LED1,LED-ARRAY-SMD_4P-L1.6-W1.5-BR_XL-1615RGBC-RF,1,~,C965840
"Q1, Q3, Q5, Q7",DFN-8_L3.0-W3.0-P0.65-BL-MOSFET,4,~,C315567
"Q2, Q4, Q6, Q8",DFN-8_L3.0-W3.0-P0.65-BL-MOSFET,4,~,C541711
"R1, R2, R3, R4",R1206 Shunt with Kelvin connections,4,10mΩ,C7467248
R10,R0603,1,49.9Ω,C23185
"R101, R102, R201, R202, R301, R302, R401, R402, R501, R601",R0603,10,10Ω,C22859
"R103, R17, R203, R303, R403, R5",R0603,6,100kΩ,C25803
"R104, R11, R12, R204, R304, R404",R0603,6,5.1kΩ,C23186
"R18, R801, R802",R0603,3,10kΩ,C25804
"R21, R22, R23",R0603,3,1.5kΩ,C22843
R6,R0603,1,13kΩ,C22797
U1,LQFP-64_L10.0-W10.0-P0.50-LS12.0-BL,1,~,C431633
U3,SOT-23-5_L3.0-W1.6-P0.95-LS2.8-BL,1,~,C2969807
U4,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,1,~,C191884
"U5, U6",QFN-16_L3.0-W3.0-P0.50-TL-EP1.7,2,~,C20416138
U8,TSSOP-20_L6.5-W4.4-P0.65-LS6.4-BL,1,~,C2058366
USB1,USB-C-SMD_TYPE-C16PIN,1,~,C393939
X1,OSC-SMD_4P-L3.2-W2.5-BL,1,16MHz,C13738
